scenario,line,max_utilisation_pct,mean_utilisation_pct,hours_above_threshold,congestion_severity_pct_hours,peak_abs_flow_mw,flow_mwh_during_congested_hours,bottleneck_rank_score
flexible_connection_contract,Friesland__Groningen,100.0,69.9025701040091,92,919.3446119393775,500.0,45996.72305969689,969.9413349990745
flexible_connection_contract,Noord-Brabant__Zeeland,100.0,72.65311710979219,92,889.0688627666179,520.0,47679.15808638641,941.3480208530044
flexible_connection_contract,Gelderland__Limburg,100.0,72.63475160909262,92,868.2785895743322,500.0,45741.39294787166,918.6199825222038
flexible_connection_contract,Noord-Brabant__Limburg,100.0,69.89052870995108,84,805.1339486733161,620.0,51863.83048177456,861.1977791550908
flexible_connection_contract,Gelderland__Overijssel,100.0,66.36880565182544,75,708.3540418356843,600.0,44750.1242510141,756.8541660866983
flexible_connection_contract,Noord-Holland__Flevoland,100.0,68.01711995383552,71,694.6486872958324,650.0,46050.21646742291,744.2489037632553
flexible_connection_contract,Zuid-Holland__Zeeland,100.0,65.17023370757313,69,667.858572922629,700.0,48145.0100104584,719.4535829330874
flexible_connection_contract,Overijssel__Drenthe,100.0,66.91576312477416,73,674.7552634538683,450.0,32601.39868554241,711.0066621394108
flexible_connection_contract,Utrecht__Gelderland,100.0,62.848699470435974,60,520.2375789844837,650.0,38481.54426339914,561.7191232478829
flexible_connection_contract,Drenthe__Groningen,100.0,57.444111232979054,52,495.3736317422715,420.0,21736.569253317542,519.710200995589
flexible_connection_contract,Noord-Holland__Friesland,100.0,46.279903885311334,38,340.3743240025931,850.0,31963.181754022044,374.2375057566151
flexible_connection_contract,Utrecht__Noord-Brabant,100.0,54.689402260069265,37,329.43993830221154,750.0,27445.799537266586,358.73573783947813
flexible_connection_contract,Zuid-Holland__Utrecht,100.0,32.485767895199075,12,113.65960180561302,850.0,10146.106615347711,124.40570842096074
flexible_connection_contract,Friesland__Flevoland,100.0,46.28107989174813,15,100.58666286933793,450.0,6527.639982912021,107.86430285224995
flexible_connection_contract,Noord-Holland__Utrecht,100.0,39.64157902310815,10,78.07637594592642,900.0,8802.687383513337,87.37906332943976
flexible_connection_contract,Noord-Holland__Zuid-Holland,82.56480527014864,23.977275519994073,0,0.0,990.7776632417838,0.0,0.0
high_solar_growth,Gelderland__Overijssel,100.0,76.11815137494982,97,923.6602254909918,600.0,57921.96135294595,986.4321868439378
high_solar_growth,Flevoland__Overijssel,100.0,75.69470829192947,93,885.6910442271296,420.0,38873.90238575394,929.2149466128835
high_solar_growth,Gelderland__Limburg,100.0,76.87130293974471,91,877.3775445366177,500.0,45336.88772268309,927.2644322593007
high_solar_growth,Noord-Brabant__Zeeland,100.0,73.28520194749031,82,805.929974932379,520.0,42566.83586964837,852.5968108020273
high_solar_growth,Noord-Brabant__Limburg,100.0,72.33229209762693,84,777.4997898827687,620.0,51692.498697273164,833.392288580042
high_solar_growth,Overijssel__Drenthe,100.0,63.893327286733026,64,617.0028018954101,450.0,28696.512608529345,648.8993145039395
high_solar_growth,Drenthe__Groningen,100.0,60.58522934921079,52,481.52604675093176,420.0,21678.409396353913,505.8044561472857
high_solar_growth,Utrecht__Gelderland,100.0,56.73131318344584,47,427.07403015966645,650.0,30270.981196037836,459.6950113557043
high_solar_growth,Friesland__Groningen,100.0,58.55627141449337,46,420.65906422567423,500.0,22803.29532112837,445.7623595468026
high_solar_growth,Zuid-Holland__Zeeland,100.0,48.36532414917916,36,333.22749474386717,700.0,25012.592463207067,360.04008720707424
high_solar_growth,Utrecht__Noord-Brabant,100.0,51.86365944543353,34,306.00786500829236,750.0,25245.05898756219,332.9529239958545
high_solar_growth,Noord-Holland__Flevoland,100.0,51.47618595471589,32,260.20107664852276,650.0,20411.306998215397,282.2123836467382
high_solar_growth,Zuid-Holland__Utrecht,100.0,47.253848947793436,25,229.77334272332405,850.0,21078.073413148253,252.1014161364723
high_solar_growth,Friesland__Flevoland,100.0,52.561089559952094,31,234.81631806307348,450.0,13611.67343128383,249.97799149435733
high_solar_growth,Noord-Holland__Utrecht,100.0,47.743159799512455,24,221.3118592847639,900.0,21431.806733562873,243.94366601832675
